date,price
06/01/2019,1413.2
07/01/2019,1430.55
08/01/2019,1526.55
09/01/2019,1487.6
10/01/2019,1506.4
11/01/2019,1456.35
12/01/2019,1523
01/01/2020,1580.85
02/01/2020,1626.35
03/01/2020,1604.65
04/01/2020,1716.75
05/01/2020,1725.65
06/01/2020,1770.7
07/01/2020,1971.68
08/01/2020,1970.5
09/01/2020,1893.9
10/01/2020,1879.9
11/01/2020,1779.86
12/01/2020,1895.1
